text,category,sentiment
"আজকের আবহাওয়া খুব সুন্দর।","Weather","Positive"
"আজ আকাশে অনেক মেঘ রয়েছে।","Weather","Neutral"
"সকালে প্রচণ্ড বৃষ্টি হয়েছে।","Weather","Neutral"
"বৃষ্টির দিন আমার খুব ভালো লাগে।","Weather","Positive"
"আজ প্রচণ্ড গরম পড়েছে।","Weather","Negative"
"আমি প্রতিদিন সকালে হাঁটতে যাই।","Daily Life","Neutral"
"আজ আমি খুব ভোরে ঘুম থেকে উঠেছি।","Daily Life","Positive"
"সে প্রতিদিন সময়মতো অফিসে যায়।","Daily Life","Neutral"
"আজ আমার অনেক কাজ ছিল।","Daily Life","Neutral"
"সারাদিন কাজ করে আমি ক্লান্ত হয়ে পড়েছি।","Daily Life","Negative"
"বাংলা একটি সমৃদ্ধ ভাষা।","Language","Positive"
"বাংলা ভাষায় অনেক সুন্দর সাহিত্য রয়েছে।","Language","Positive"
"আমি বাংলা ভাষায় লিখতে ভালোবাসি।","Language","Positive"
"সঠিক বানান লেখা খুব গুরুত্বপূর্ণ।","Language","Positive"
"ভাষার ব্যবহার পরিস্থিতির ওপর নির্ভর করে।","Language","Neutral"
"এই বইটি আমার খুব ভালো লেগেছে।","Book","Positive"
"বইটি পড়তে আমার বেশ ভালো লেগেছে।","Book","Positive"
"এই গল্পের শেষটা বেশ আকর্ষণীয়।","Book","Positive"
"বইটির ভাষা আমার কাছে কঠিন মনে হয়েছে।","Book","Negative"
"আমি গত সপ্তাহে একটি নতুন বই কিনেছি।","Book","Neutral"
"সিনেমাটির গল্পটি খুব সুন্দর ছিল।","Entertainment","Positive"
"এই সিনেমাটি আমার একদম ভালো লাগেনি।","Entertainment","Negative"
"আমি গতকাল একটি সিনেমা দেখেছি।","Entertainment","Neutral"
"অভিনেতার অভিনয়টি বেশ ভালো হয়েছে।","Entertainment","Positive"
"গানটি শুনে আমার মন ভালো হয়ে গেল।","Entertainment","Positive"
"আজ আমি বাড়িতে রান্না করেছি।","Food","Neutral"
"মায়ের রান্না আমার খুব ভালো লাগে।","Food","Positive"
"খাবারটি খুব সুস্বাদু হয়েছে।","Food","Positive"
"এই খাবারটি আমার কাছে খুব ঝাল লেগেছে।","Food","Negative"
"আমি সকালে নাশতা করেছি।","Food","Neutral"
"আমি বাংলা লিখতে এবং পড়তে ভালোবাসি।","Education","Positive"
"নতুন কিছু শেখার জন্য নিয়মিত অনুশীলন করা দরকার।","Education","Positive"
"আজ আমাদের একটি গুরুত্বপূর্ণ পরীক্ষা ছিল।","Education","Neutral"
"কঠিন বিষয়টি বুঝতে আমার একটু সময় লেগেছে।","Education","Negative"
"শিক্ষকের ব্যাখ্যাটি খুব সহজ ছিল।","Education","Positive"
"আমি প্রতিদিন নতুন কিছু শেখার চেষ্টা করি।","Learning","Positive"
"অনুশীলনের মাধ্যমে দক্ষতা বৃদ্ধি করা যায়।","Learning","Positive"
"এই বিষয়টি বুঝতে আমার কিছুটা সমস্যা হয়েছে।","Learning","Negative"
"নতুন দক্ষতা অর্জন করতে ধৈর্য দরকার।","Learning","Neutral"
"নিয়মিত শেখার অভ্যাস ভবিষ্যতে কাজে লাগে।","Learning","Positive"
"আজ অফিসে অনেক কাজ ছিল।","Work","Neutral"
"আমি নতুন একটি কাজ শুরু করেছি।","Work","Positive"
"দলের সঙ্গে কাজ করতে আমার ভালো লাগে।","Work","Positive"
"কাজটি শেষ করতে অনেক সময় লেগেছে।","Work","Neutral"
"আজকের কাজের চাপ অনেক বেশি ছিল।","Work","Negative"
"কৃত্রিম বুদ্ধিমত্তা বর্তমানে বিভিন্ন ক্ষেত্রে ব্যবহৃত হচ্ছে।","Technology","Neutral"
"AI প্রযুক্তি অনেক কাজকে সহজ করতে পারে।","Technology","Positive"
"নতুন প্রযুক্তি সম্পর্কে জানতে আমার আগ্রহ রয়েছে।","Technology","Positive"
"প্রযুক্তির সঠিক ব্যবহার গুরুত্বপূর্ণ।","Technology","Neutral"
"কৃত্রিম বুদ্ধিমত্তার ব্যবহার দ্রুত বৃদ্ধি পাচ্ছে।","Technology","Neutral"
